QCOM,QUALCOMM INC,NASDAQ,1.01233E+11
ROP,ROPER TECHNOLOGIES INC,NYSE,16627213346
ROST,ROSS STORES INC,NASDAQ,21814275392
AN,AUTONATION INC,NYSE,6943732730
SBUX,STARBUCKS CORP,NASDAQ,86365598000
KEY,KEYCORP,NYSE,12402699721
SPLS,STAPLES INC,NASDAQ,9052434718
STT,STATE STREET CORP,NYSE,31777543538
USB,US BANCORP,NYSE,79928416989
SYMC,SYMANTEC CORP,NASDAQ,15302763911
TROW,T ROWE PRICE GROUP INC,NASDAQ,19789877676
WM,WASTE MANAGEMENT INC,NYSE,22974320879
CBS,CBS CORP-CLASS B NON VOTING,NYSE,26191766993
AGN,ALLERGAN PLC,NYSE,1.31438E+11
WFM,WHOLE FOODS MARKET INC,NASDAQ,12707755460
STZ,CONSTELLATION BRANDS INC-A,NYSE,23637396630
XLNX,XILINX INC,NASDAQ,10837765382
XRAY,DENTSPLY INTERNATIONAL INC,NASDAQ,7822270860
ZION,ZIONS BANCORPORATION,NASDAQ,6266968644
IVZ,INVESCO LTD,NYSE,16527123464
INTU,INTUIT INC,NASDAQ,28959013533
MS,MORGAN STANLEY,NYSE,76358238884
MCHP,MICROCHIP TECHNOLOGY INC,NASDAQ,8659964670
ACE,ACE LTD,NYSE,36166843705
CHK,CHESAPEAKE ENERGY CORP,NYSE,5420853869
ORLY,O'REILLY AUTOMOTIVE INC,NASDAQ,24390086447
ALL,ALLSTATE CORP,NYSE,27779051262
FLIR,FLIR SYSTEMS INC,NASDAQ,4304626391
EQR,EQUITY RESIDENTIAL,NYSE,27488431533
BWA,BORGWARNER INC,NYSE,11084895524
NFX,NEWFIELD EXPLORATION CO,NYSE,5281261585
URBN,URBAN OUTFITTERS INC,NASDAQ,4154015838
SPG,SIMON PROPERTY GROUP INC,NYSE,58639924522
EMN,EASTMAN CHEMICAL CO,NYSE,11528919102
AVB,AVALONBAY COMMUNITIES INC,NYSE,22996821341
PRU,PRUDENTIAL FINANCIAL INC,NYSE,40380420000
UPS,UNITED PARCEL SERVICE-CL B,NYSE,92603085938
AIV,APARTMENT INVT & MGMT CO -A,NYSE,6162180294
WBA,WALGREENS BOOTS ALLIANCE INC,NASDAQ,1.04761E+11
MCK,MCKESSON CORP,NYSE,51937470712
LMT,LOCKHEED MARTIN CORP,NYSE,64525969989
ABC,AMERISOURCEBERGEN CORP,NYSE,23247124689
CAM,CAMERON INTERNATIONAL CORP,NYSE,9414842546
COF,CAPITAL ONE FINANCIAL CORP,NYSE,44278474291
WAT,WATERS CORP,NYSE,11046920331
DLTR,DOLLAR TREE INC,NASDAQ,18221908615
DRI,DARDEN RESTAURANTS INC,NYSE,9362104016
SNDK,SANDISK CORP,NASDAQ,12155940443
DO,DIAMOND OFFSHORE DRILLING,NYSE,2910507741
NTAP,NETAPP INC,NASDAQ,9209533736
CTXS,CITRIX SYSTEMS INC,NASDAQ,12161021350
GT,GOODYEAR TIRE & RUBBER CO,NASDAQ,8135836482
DVA,DAVITA HEALTHCARE PARTNERS I,NYSE,17137650000
HIG,HARTFORD FINANCIAL SVCS GRP,NYSE,20007995957
IRM,IRON MOUNTAIN INC,NYSE,6373260730
EL,ESTEE LAUDER COMPANIES-CL A,NYSE,33870439083
YHOO,YAHOO! INC,NASDAQ,34431461489
