AA,ALCOA INC,NYSE,12626643920	
LYB,LYONDELLBASELL INDU-CL A,NYSE,41961334859
AXP,AMERICAN EXPRESS CO,NYSE,76077505742
VZ,VERIZON COMMUNICATIONS INC,NYSE,1.90966E+11
AVGO,AVAGO TECHNOLOGIES LTD,NASDAQ,32673996260
BA,BOEING CO/THE,NYSE,97636653649
CAT,CATERPILLAR INC,NYSE,46559390272
JPM,JPMORGAN CHASE & CO,NYSE,2.53431E+11
CVX,CHEVRON CORP,NYSE,1.60969E+11
KO,COCA-COLA CO/THE,NYSE,1.80699E+11
ABBV,ABBVIE INC,NYSE,1.22028E+11
DIS,WALT DISNEY CO/THE,NYSE,2.05512E+11
DD,DU PONT (E.I.) DE NEMOURS,NYSE,50028493020
XOM,EXXON MOBIL CORP,NYSE,3.26377E+11
PSX,PHILLIPS 66,NYSE,42303056777
GE,GENERAL ELECTRIC CO,NYSE,2.61195E+11
HPQ,HEWLETT-PACKARD CO,NYSE,54228579081
HD,HOME DEPOT INC,NYSE,1.51837E+11
IBM,INTL BUSINESS MACHINES CORP,NYSE,1.55461E+11
JNJ,JOHNSON & JOHNSON,NYSE,2.76966E+11
MCD,MCDONALD'S CORP,NYSE,95295550364
MRK,MERCK & CO. INC.,NYSE,1.66829E+11
MMM,3M CO,NYSE,93786780799
BAC,BANK OF AMERICA CORP,NYSE,1.86026E+11
PFE,PFIZER INC,NYSE,2.226E+11
PG,PROCTER & GAMBLE CO/THE,NYSE,2.07273E+11
T,AT&T INC,NYSE,2.13074E+11
TRV,TRAVELERS COS INC/THE,NYSE,33280329431
UTX,UNITED TECHNOLOGIES CORP,NYSE,88543227808
ADI,ANALOG DEVICES INC,NASDAQ,18395490659
WMT,WAL-MART STORES INC,NYSE,2.32459E+11
CSCO,CISCO SYSTEMS INC,NASDAQ,1.44236E+11
INTC,INTEL CORP,NASDAQ,1.38104E+11
GM,GENERAL MOTORS CO,NYSE,50181039184
MSFT,MICROSOFT CORP,NASDAQ,3.74385E+11
DG,DOLLAR GENERAL CORP,NYSE,23747882405
KMI,KINDER MORGAN INC,NYSE,73977876146
C,CITIGROUP INC,NYSE,1.75895E+11
NLSN,NIELSEN NV,NYSE,17590935562
AIG,AMERICAN INTERNATIONAL GROUP,NYSE,83002845918
HON,HONEYWELL INTERNATIONAL INC,NYSE,81850524013
MO,ALTRIA GROUP INC,NYSE,1.07172E+11
HCA,HCA HOLDINGS INC,NYSE,38482088040
UA,UNDER ARMOUR INC-CLASS A,NYSE,21190901545
IP,INTERNATIONAL PAPER CO,NYSE,19925997939
ABT,ABBOTT LABORATORIES,NYSE,75182244559
AFL,AFLAC INC,NYSE,27781613458
APD,AIR PRODUCTS & CHEMICALS INC,NYSE,31361639952
ARG,AIRGAS INC,NYSE,7655581388
RCL,ROYAL CARIBBEAN CRUISES LTD,NYSE,19924696341
AEP,AMERICAN ELECTRIC POWER,NYSE,27991331803
